ClaimID,ScheduleNumber,ClaimNumber,DateFiled,CreditorName,TotalCurrentClaimAmount,DebtorName
5258591, 5258591, ,  ,101 SECOND STREET INC, $0.00,West Realm Shires Services Inc.
5289640,  ,3726,06/29/2023,"101 Second Street, Inc."," $1,668,545.93",West Realm Shires Services Inc.
5288765,  ,2884,06/15/2023,1100 15th St NW Tenant LLC," $31,920.00",West Realm Shires Inc.
5258321, 5258321, ,  ,"1450 BRICKELL, LLC", $0.00,West Realm Shires Inc.
5288773,  ,2888,06/15/2023,1525 11th Ave Tenant LLC," $35,560.00",West Realm Shires Inc.
5258611, 5258611, ,  ,16 POINTS LLC," $2,500.00",LP Successor Entity LLC
5290326,  ,4289,06/28/2023,16 POINTS LLC," $2,500.00",LedgerPrime LLC
5288766,  ,2885,06/15/2023,1700 Lincoln Street Tenant LLC," $21,248.00",West Realm Shires Inc.
5291940,  ,5056,06/30/2023,6529 Capital GP LLC, $0.00,Clifton Bay Investments LLC
5291949,  ,5059,06/30/2023,6529 Capital GP LLC, $0.00,Clifton Bay Investments LLC
5291894,  ,5044,06/30/2023,6529 NFT Fund GP LLC Q-2, $0.00,Clifton Bay Investments LLC
5291950,  ,5060,06/30/2023,"6529 NFT Fund QP, LP-A1", $0.00,Clifton Bay Investments LLC
5291918,  ,5048,06/30/2023,"6529 NFT Fund QP, LP-A2", $0.00,Clifton Bay Investments Ltd
5258607, 5258607, ,  ,"6TH MAN VENTURES FUND IIC, LLC", $0.00,FTX Ventures Ltd.
5290090,  ,4120,06/27/2023,6th Man Ventures LLC," $300,000.00",FTX Ventures Ltd.
5290418,  ,4377,06/29/2023,"A-BUT-24-Fund, a series of Abstract Ventures Special Opportunities, LLC"," $97,638.85",FTX Trading Ltd.
5258821, 5258821, ,  ,"ABG SHAQ, LLC", $0.00,West Realm Shires Services Inc.
5289581,  ,3670,06/29/2023,"ABG-Shaq, LLC", $0.00,West Realm Shires Services Inc.
5291539,  ,4975,06/30/2023,"ABG-Shaq, LLC", $0.00,West Realm Shires Services Inc.
5258577, 5258577, ,  ,AC HOTELS BY MARRIOTT," $38,760.92",West Realm Shires Services Inc.
5290011,  ,4054,06/29/2023,Celsius Network Limited and its affiliated debtors," $2,000,000,000.00",Crypto Bahamas LLC
5290072,  ,4105,06/29/2023,Celsius Network Limited and its Affiliated Debtors," $2,000,000,000.00","Good Luck Games, LLC"
5290687,  ,4574,06/30/2023,Celsius Network Limited and its Affiliated Debtors," $2,000,000,000.00",FTX Products (Singapore) Pte Ltd
5289041,  ,3130,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",Digital Custody Inc.
5289051,  ,3140,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",FTX EMEA Ltd.
5289113,  ,3202,06/29/2023,Celsius Network LLC and its Affiliated Debtors," $2,000,000,000.00",Global Compass Dynamics Ltd.
5289231,  ,3320,06/29/2023,Celsius Network LLC and its Affiliated Debtors," $2,000,000,000.00",North Dimension Ltd
5289301,  ,3390,06/29/2023,Celsius Network LLC and its Affiliated Debtors," $2,000,000,000.00",FTX Japan Services KK
5289365,  ,3454,06/29/2023,Celsius Network LLC and its Affiliated Debtors," $2,000,000,000.00",FTX Exchange FZE
5289441,  ,3530,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",West Realm Shires Inc.
5289497,  ,3586,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",Cardinal Ventures Ltd
5289534,  ,3623,06/29/2023,Celsius Network LLC and its Affiliated Debtors," $2,000,000,000.00",LedgerPrime Digital Asset Opportunities Master Fund LP
5289600,  ,3688,06/29/2023,Celsius Network LLC and its Affiliated Debtors," $2,000,000,000.00",FTX Certificates GmbH
5289610,  ,3697,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",Paper Bird Inc
5289665,  ,3747,06/29/2023,Celsius Network LLC and its Affiliated Debtors," $2,000,000,000.00",Western Concord Enterprises Ltd.
5289680,  ,3761,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",Quoine Vietnam Co. Ltd
5289733,  ,3805,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",Allston Way Ltd
5289739,  ,3811,06/29/2023,Celsius Network LLC and its Affiliated Debtors," $2,000,000,000.00",Liquid Securities Singapore Pte Ltd
5289747,  ,3818,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",Mangrove Cay Ltd
5289759,  ,3829,06/29/2023,Celsius Network LLC and its affiliated debtors," $2,000,000,000.00",FTX Property Holdings Ltd
5278905,  ,2038,06/07/2023,Name on file," $116,102.00",FTX Trading Ltd.
5278906,  ,2039,06/12/2023,Name on file," $33,813.80",FTX Trading Ltd.
5278908,  ,2040,06/12/2023,Name on file," $6,322.24",FTX Trading Ltd.
5278910,  ,2041,06/12/2023,Name on file," $42,964.00",FTX Trading Ltd.
5278912,  ,2042,06/12/2023,Name on file," $220,000.00",FTX Trading Ltd.
5278914,  ,2043,06/12/2023,Name on file," $3,000.00",FTX Trading Ltd.
5278915,  ,2044,06/12/2023,Name on file," $2,366,616.71",FTX Trading Ltd.
5278916,  ,2045,06/12/2023,Name on file," $32,634.58",FTX Trading Ltd.
5278918,  ,2046,06/09/2023,Name on file," $2,000.00",FTX Trading Ltd.
5278919,  ,2047,06/08/2023,Name on file," $8,004.56",FTX Trading Ltd.
5278930,  ,2048,06/13/2023,Name on file," $3,151,923.00",FTX Trading Ltd.
5278931,  ,2049,06/13/2023,Name on file," $13,551,973.51",FTX Trading Ltd.
5278932,  ,2050,06/13/2023,Name on file," $1,138,017.82",FTX Trading Ltd.
5278957,  ,2051,06/07/2023,Name on file," $30,869.56",FTX Trading Ltd.
5280223,  ,2052,06/14/2023,Name on file," $75,000.00",FTX Trading Ltd.
5261291,  ,1938,05/19/2023,Name on file," $3,404.29",FTX Trading Ltd.
5261293,  ,1939,05/18/2023,Name on file," $13,387,129.39",FTX Trading Ltd.
5257490,  ,1883,05/10/2023,Name on file," $94,887.73",FTX Trading Ltd.
5257497,  ,1884,05/10/2023,Name on file," $4,000.00",FTX Trading Ltd.
5257499,  ,1885,05/10/2023,Name on file," $340,850.38",FTX Trading Ltd.
6324068, 6324068,58764,09/22/2023,Name on file, $0.00,West Realm Shires Services Inc.
6265122, 6265122,58765,09/22/2023,Name on file, $0.00,FTX EU Ltd.
6727643, 6727643,58766,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
6748571, 6748571,58767,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
6034492, 6034492,58768,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
6806627, 6806627,58769,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
6747780, 6747780,58770,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
5739732, 5739732,58771,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
5940126, 5940126,58772,09/22/2023,Name on file, $0.00,FTX EU Ltd.
6766711, 6766711,58773,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
6808060, 6808060,58774,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
8625557,  ,58775,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
6773327, 6773327,58776,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
8625559,  ,58777,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
8625560,  ,58778,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
8625561,  ,58779,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
6806478, 6806478,58780,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
7060196, 7060196,58781,09/22/2023,Name on file, $0.00,FTX EU Ltd.
6844578, 6844578,58782,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
6797074, 6797074,58783,09/22/2023,Name on file, $0.00,FTX Trading Ltd.
8620068,  ,53565,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6441893, 6441893,53566,09/17/2023,Name on file, $0.00,FTX EU Ltd.
6848630, 6848630,53567,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6728328, 6728328,53568,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6807082, 6807082,53569,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6799605, 6799605,53570,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
8620074,  ,53571,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
7060099, 7060099,53572,09/17/2023,Name on file, $0.00,FTX EU Ltd.
6786303, 6786303,53573,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6835853, 6835853,53574,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
7856444, 7856444,53575,09/17/2023,Name on file, $0.00,FTX EU Ltd.
6762188, 6762188,53576,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6560728, 6560728,53577,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6766646, 6766646,53578,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6726297, 6726297,53579,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6776222, 6776222,53580,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6751763, 6751763,53581,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6753451, 6753451,53582,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
6848374, 6848374,53583,09/17/2023,Name on file, $0.00,FTX Trading Ltd.
8620087,  ,53584,09/17/2023,Name on file, $0.00,FTX EU Ltd.
8594050,  ,29752,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594051,  ,29753,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594052,  ,29754,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594053,  ,29755,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594054,  ,29756,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594055,  ,29757,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594056,  ,29758,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594057,  ,29759,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594058,  ,29760,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594059,  ,29761,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594060,  ,29762,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594061,  ,29763,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594062,  ,29764,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594063,  ,29765,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594064,  ,29766,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594065,  ,29767,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594066,  ,29768,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594067,  ,29769,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594068,  ,29770,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594069,  ,29771,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
6784361, 6784361,56888,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
7860536, 7860536,56889,09/20/2023,Name on file, $0.00,FTX EU Ltd.
6805651, 6805651,56890,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
7052321, 7052321,56891,09/20/2023,Name on file, $0.00,FTX EU Ltd.
6774132, 6774132,56892,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
8623553,  ,56893,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
8623554,  ,56894,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
8623555,  ,56895,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
6636952, 6636952,56896,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
6903575, 6903575,56897,09/20/2023,Name on file, $0.00,Quoine Pte Ltd
6827290, 6827290,56898,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
6986678, 6986678,56899,09/20/2023,Name on file, $0.00,FTX Japan K.K.
6842330, 6842330,56900,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
8623561,  ,56901,09/20/2023,Name on file, $0.00,FTX EU Ltd.
6757778, 6757778,56902,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
6761074, 6761074,56903,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
6839351, 6839351,56904,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
6851909, 6851909,56905,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
6611417, 6611417,56906,09/20/2023,Name on file, $0.00,FTX Trading Ltd.
6547980, 6547980,56907,09/20/2023,Name on file, $0.00,West Realm Shires Services Inc.
8597106,  ,32776,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597107,  ,32777,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597108,  ,32778,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597109,  ,32779,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597110,  ,32780,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597111,  ,32781,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597112,  ,32782,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597113,  ,32783,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597114,  ,32784,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597115,  ,32785,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597116,  ,32786,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597117,  ,32787,08/01/2023,Name on file, $0.00,West Realm Shires Services Inc.
8597118,  ,32788,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597119,  ,32789,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597120,  ,32790,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597121,  ,32791,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597122,  ,32792,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597123,  ,32793,08/01/2023,Name on file, $0.00,FTX EU Ltd.
8597124,  ,32794,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8597125,  ,32795,08/01/2023,Name on file, $0.00,FTX Trading Ltd.
8594408,  ,30110,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594409,  ,30111,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594410,  ,30112,07/31/2023,Name on file, $0.00,FTX EU Ltd.
8594411,  ,30113,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594412,  ,30114,07/31/2023,Name on file, $0.00,FTX EU Ltd.
8594413,  ,30115,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594414,  ,30116,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594415,  ,30117,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594416,  ,30118,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594417,  ,30119,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594418,  ,30120,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594419,  ,30121,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594420,  ,30122,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594421,  ,30123,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594422,  ,30124,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594423,  ,30125,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594424,  ,30126,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594425,  ,30127,07/31/2023,Name on file, $0.00,FTX EU Ltd.
8594426,  ,30128,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594427,  ,30129,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594256,  ,29958,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594257,  ,29959,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
8594258,  ,29960,07/31/2023,Name on file, $0.00,FTX Trading Ltd.
